#{"t_start": 1707175045.1665442, "env_id": "Radar-v0"}
r,l,t
68,40,116.918385
67,38,117.496293
36,38,117.596931
35,36,117.694431
52,49,117.826464
52,40,118.065255
50,43,118.169442
27,34,118.273506
25,39,118.61102
30,35,118.710643
48,37,118.826915
36,35,119.337806
48,38,119.431262
39,41,119.537677
38,40,119.659662
63,47,119.942743
40,42,120.052493
41,39,120.169945
43,46,120.440909
29,43,120.547284
51,40,120.664052
45,41,120.989802
30,34,121.075173
54,42,121.186966
52,40,121.47192
56,41,121.555843
57,37,121.654423
51,38,121.95926
64,41,122.037706
45,44,122.120846
41,43,122.359746
41,28,122.442276
45,34,122.522401
29,46,122.66685
58,39,122.914882
43,36,122.999692
57,37,123.091354
54,39,123.436153
57,44,123.557494
55,42,123.649872
62,37,124.005877
21,40,124.119746
58,42,124.250175
42,43,124.596271
36,43,124.69597
35,44,124.791506
54,37,125.097112
38,41,125.195501
64,35,125.279802
9,41,125.385502
25,41,125.618511
33,41,125.719751
1,37,125.837136
46,36,126.235354
64,45,126.351007
58,37,126.463638
31,43,126.682395
40,37,126.788312
39,26,126.862449
42,43,126.991369
47,38,127.194878
45,44,127.30609
51,44,127.447383
50,47,127.713209
31,38,127.813091
47,44,127.942522
24,35,128.290309
61,40,128.391347
53,37,128.504424
7,38,129.117935
51,35,129.209686
52,42,129.317107
51,37,129.8733
46,46,130.017986
58,37,130.111051
30,39,130.214007
43,37,130.467882
52,44,130.58026
34,39,130.682168
65,39,131.075325
27,40,131.154983
47,29,131.236629
47,32,131.464538
48,42,131.611669
26,35,131.718343
51,37,131.825684
56,35,132.07637
37,44,132.183274
47,37,132.280137
52,38,132.522323
40,38,132.607327
48,37,132.693075
12,41,132.961967
70,44,133.062405
56,45,133.14198
49,47,133.43633
34,48,133.582584
39,43,133.684367
42,38,134.027275
17,33,134.101894
40,41,134.19372
36,42,134.273214
72,50,134.557825
29,38,134.652587
37,35,134.764378
37,38,135.056263
19,41,135.15989
31,38,135.259363
66,50,135.559291
45,44,135.674238
32,41,135.786897
49,47,136.100322
30,40,136.189466
39,44,136.305434
59,40,136.579738
75,44,136.702017
42,47,136.832431
43,44,137.084354
50,37,137.169182
44,45,137.291372
39,35,137.540363
71,42,137.65843
59,38,137.761895
38,41,138.035237
70,43,138.134387
43,38,138.234697
41,41,138.554983
48,40,138.672141
40,47,138.801178
55,47,139.092252
53,42,139.16741
43,41,139.2358
35,43,139.441807
64,47,139.541509
58,40,139.606292
51,44,139.895471
18,39,140.011603
54,42,140.122674
30,44,140.392046
54,39,140.47316
7,40,140.560185
66,44,140.975032
29,43,141.08028
76,50,141.205834
53,41,141.491689
57,47,141.589686
63,38,141.667535
55,37,141.911862
21,47,142.006361
71,41,142.077874
55,47,142.383095
30,46,142.467839
56,31,142.538329
35,37,142.782158
11,41,142.873418
46,40,142.945612
53,44,143.228593
19,40,143.329394
51,35,143.408726
6,36,143.506069
78,43,144.011141
65,49,144.130035
72,41,144.24759
37,32,144.504303
68,44,144.586014
55,36,144.654776
23,43,144.914402
27,35,145.014756
31,34,145.103183
39,38,145.210286
16,40,145.575218
39,31,145.662512
50,38,145.807657
38,41,146.212003
67,44,146.320213
57,44,146.442053
44,43,146.864509
46,44,146.977393
73,43,147.093291
64,37,147.377408
41,44,147.492288
24,41,147.610358
44,41,147.943443
27,41,148.054977
55,32,148.148093
69,41,148.529347
53,29,148.605071
51,48,148.743748
68,45,148.873198
72,43,149.207174
59,44,149.315881
62,39,149.436075
62,37,149.813572
49,38,149.920624
57,37,150.033022
50,36,150.397985
64,38,150.475843
18,44,150.560691
38,41,150.875833
56,40,150.960453
53,32,151.030963
51,38,151.129205
73,41,151.464176
47,47,151.593813
27,37,151.714887
38,43,152.020936
59,41,152.124483
44,38,152.223221
47,35,152.634854
44,37,152.729087
37,41,152.832526
71,44,153.191153
48,39,153.299547
12,37,153.404796
63,44,153.873281
47,38,153.964358
58,35,154.060605
39,42,154.165243
59,38,154.544487
36,50,154.666498
78,47,154.788159
74,44,155.266993
34,37,155.368644
63,47,155.516973
53,43,155.928224
57,38,156.039095
44,40,156.160224
57,40,156.509135
71,39,156.611635
53,35,156.73049
35,38,157.025478
56,38,157.12781
43,41,157.246534
20,40,157.595944
38,41,157.695285
47,36,157.796602
63,47,158.185649
37,39,158.289123
59,38,158.385512
69,44,158.550932
26,43,158.873396
79,47,158.947088
42,38,159.001509
34,37,159.200419
54,41,159.315285
75,46,159.430919
4,37,159.795616
20,34,159.891281
