#{"t_start": 1707153303.3442564, "env_id": "Radar-v0"}
r,l,t
37.392955,35,55.516263
49.356474,30,55.584151
44.396592,29,55.64176
51.844748,34,55.834739
37.706588,31,55.918606
29.214538,34,55.994553
35.151616,31,56.04919
45.271401,30,56.209163
46.12318,30,56.316204
41.823933,35,56.391809
50.82065,37,56.439344
59.444862,37,56.622536
32.421792,37,56.716556
27.450801,28,56.76808
33.464754,28,56.814574
53.605938,32,56.983769
44.256671,28,57.056898
27.248843,38,57.163025
54.877749,32,57.265273
36.523173,35,57.544914
49.901288,34,57.634941
39.624527,31,57.705451
39.770423,35,57.798548
17.819127,36,57.993895
13.118006,32,58.070985
31.900086,33,58.14208
54.417445,35,58.234168
26.136421,36,58.441618
47.612269,31,58.52093
55.810351,36,58.635749
31.744097,33,58.831206
43.501339,35,58.927367
38.255087,35,59.0193
65.25379,38,59.127214
56.232238,38,59.315092
47.809368,34,59.405742
9.810752,35,59.491003
41.286164,29,59.577015
30.740478,30,59.752354
40.419657,37,59.826348
36.095718,36,59.886255
14.511647,25,59.936091
31.477119,30,60.244106
41.387161,31,60.317694
54.114732,30,60.387572
43.123844,32,60.471341
48.860726,34,60.659604
56.455389,32,60.734039
25.336523,31,60.816368
48.837757,33,60.916725
26.872773,27,61.075601
32.375754,33,61.166634
48.704751,31,61.242751
44.643474,39,61.373799
35.378142,33,61.593486
30.39283,32,61.675736
34.5466,38,61.775254
33.892828,35,61.983942
44.410961,36,62.056286
50.702702,31,62.098231
32.237808,38,62.150561
24.726397,35,62.325808
26.984624,41,62.408155
33.260343,28,62.470162
24.999845,36,62.552165
17.445939,30,62.719496
27.0684,32,62.767375
33.875759,38,62.815799
25.567085,40,62.956844
39.279064,42,63.039598
45.417731,30,63.079053
50.012196,40,63.145816
49.411619,32,63.300133
47.508579,32,63.37207
14.986025,36,63.4312
42.584579,30,63.471527
31.461448,44,63.681235
48.014446,39,63.797924
34.953785,32,63.876771
43.041086,40,64.070543
34.217084,32,64.167371
57.21499,38,64.239714
53.148133,38,64.297489
28.926801,32,64.481789
51.126412,31,64.562037
40.596711,29,64.63404
43.577836,29,64.697565
54.241805,33,64.88921
40.07044,38,64.972981
36.746564,36,65.060712
36.934008,39,65.341164
