#{"t_start": 1694990745.1364563, "env_id": "Radar-v0"}
r,l,t
0.0,1,3.092619
0.0,1,3.094444
0.0,1,3.09612
0.0,1,3.097983
0.0,1,3.099613
0.0,1,3.10143
0.0,1,3.103075
0.0,1,3.104978
0.0,1,3.106681
0.0,1,3.108772
0.0,1,3.110448
0.0,1,3.112217
0.0,1,3.113894
0.0,1,3.115676
0.0,1,3.117284
0.0,1,3.119297
0.0,1,3.120982
0.0,1,3.122828
0.0,1,3.124817
0.0,1,3.126668
0.0,1,3.128302
0.0,1,3.130319
0.0,1,3.132246
0.0,1,3.134283
0.0,1,3.13599
0.0,1,3.1379
0.0,1,3.139613
0.0,1,3.14151
0.0,1,3.143218
0.0,1,3.14521
0.0,1,3.146786
0.0,1,3.148501
0.0,1,3.150188
0.0,1,3.151926
0.0,1,3.153656
0.0,1,3.155541
0.0,1,3.157336
0.0,1,3.159014
0.0,1,3.246464
0.0,1,3.248944
0.0,1,3.251032
0.0,1,3.25281
0.0,1,3.254361
0.0,1,3.255924
0.0,1,3.257462
0.0,1,3.259081
0.0,1,3.260625
0.0,1,3.262191
0.0,1,3.263803
0.0,1,3.266007
0.0,1,3.267902
0.0,1,3.269508
0.0,1,3.271098
0.0,1,3.272778
0.0,1,3.274235
0.0,1,3.275789
0.0,1,3.277345
0.0,1,3.278914
0.0,1,3.280436
0.0,1,3.282004
0.0,1,3.283564
0.0,1,3.285092
0.0,1,3.28682
0.0,1,3.288372
0.0,1,3.289925
0.0,1,3.291402
0.0,1,3.292992
0.0,1,3.294549
0.0,1,3.29609
0.0,1,3.297615
0.0,1,3.299164
0.0,1,3.300699
0.0,1,3.302268
0.0,1,3.303879
0.0,1,3.305455
0.0,1,3.30721
0.0,1,3.308777
0.0,1,3.310333
0.0,1,3.311887
0.0,1,3.313444
0.0,1,3.314989
0.0,1,3.316484
0.0,1,3.317995
0.0,1,3.319621
0.0,1,3.321189
0.0,1,3.323035
0.0,1,3.324752
0.0,1,3.326331
0.0,1,3.328095
0.0,1,3.329732
0.0,1,3.331272
0.0,1,3.332834
0.0,1,3.334391
0.0,1,3.335954
0.0,1,3.337504
0.0,1,3.339114
